model_id,family,description,term,estimate,std_error_hc3,statistic,p_value,conf_low_95,conf_high_95
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,genre_Action,0.177,0.054,3.302,<0.001,0.072,0.283
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,genre_Adventure,0.178,0.055,3.265,0.001,0.071,0.285
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,genre_Simulation,-0.027,0.063,-0.431,0.666,-0.150,0.096
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,genre_Sports,-0.042,0.144,-0.289,0.773,-0.324,0.240
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,genre_Racing,-0.011,0.154,-0.068,0.945,-0.312,0.291
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,genre_RPG,0.386,0.056,6.854,<0.001,0.276,0.497
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,genre_Strategy,0.253,0.062,4.069,<0.001,0.131,0.374
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,genre_Other,0.050,0.108,0.467,0.640,-0.161,0.262
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2009,0.075,0.165,0.454,0.650,-0.249,0.399
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2010,-0.096,0.156,-0.618,0.537,-0.402,0.209
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2011,-0.336,0.152,-2.202,0.028,-0.634,-0.037
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2012,-0.227,0.141,-1.615,0.106,-0.503,0.049
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2013,-0.177,0.129,-1.370,0.171,-0.431,0.076
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2014,-0.535,0.119,-4.500,<0.001,-0.768,-0.302
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2015,-0.479,0.121,-3.972,<0.001,-0.715,-0.242
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2016,-0.700,0.121,-5.766,<0.001,-0.938,-0.462
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2017,-1.016,0.126,-8.052,<0.001,-1.264,-0.769
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2018,-1.276,0.132,-9.682,<0.001,-1.534,-1.018
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2019,-1.162,0.138,-8.423,<0.001,-1.432,-0.891
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2020,-1.146,0.136,-8.459,<0.001,-1.412,-0.881
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2021,-1.278,0.139,-9.164,<0.001,-1.551,-1.004
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2022,-1.138,0.135,-8.455,<0.001,-1.402,-0.874
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2023,-1.210,0.136,-8.876,<0.001,-1.477,-0.943
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2024,-4.199,0.122,-34.322,<0.001,-4.439,-3.959
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2025,-3.438,0.126,-27.256,<0.001,-3.685,-3.191
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,factor(release_period)2026,-3.267,0.334,-9.786,<0.001,-3.922,-2.613
H2_M9,H2 sensitivity,Russia sensitivity: 2021 WEF score 70.8; Taiwan and Hong Kong remain uncovered,(Intercept),75.697,0.119,636.398,<0.001,75.464,75.930
H2_M9,H2 sensitivity,Russia sensitivity: 2021 WEF score 70.8; Taiwan and Hong Kong remain uncovered,tag_female_protagonist,-0.282,0.060,-4.682,<0.001,-0.400,-0.164
